name,job,academy
白重恩,院长、教授、博导、,清华大学经济管理学院
蔡昉,全国人大常委、中国社会科学院副院长兼国家全球战略智库理事长、教授、研究员、博导、,中国社会科学院
曹远征,董事长、研究员、博导、,中银国际研究有限公司 
陈东琪,首席专家、教授、研究员、博导、,中国宏观经济研究院
陈锡文,全国政协常委，经济委员会副主任、教授、研究员、博导、,全国政协
樊纲,中国经济体制改革研究会副会长、国民经济研究所所长、教授、研究员、博导、,中国改革基金会国民经济研究所
方星海,副主席、,
隆国强,国务院发展研究中心副主任、研究员、,国务院发展研究中心
郭树清,主席、研究员、博导、,中国银行保险监督管理委员会
韩俊,吉林省委常委、副书记、研究员、博导、,中共吉林省委
韩文秀,副主任、,
黄益平,北京大学国家发展研究院副院长、,
江小涓,十三届全国人大常委、社会建设委员会副主任委员，清华大学公共管理学院院长、教授、研究员、博导、,清华大学公共管理学院
廖岷,副主任、副部长、,
李波,副主席、研究员、,中华全国归国华侨联合会
李剑阁,孙冶方经济科学基金会理事长、广东以色列理工学院校长、教授、研究员、博导、,
刘鹤,副总理、教授、博导、,国务院
刘尚希,中国财政科学研究院院长、研究员、博导、,
刘世锦,中国发展研究基金会副理事长、教授、研究员、博导、,国务院发展研究中心
刘伟,中国人民大学校长兼国家发展与战略研究院院长、教授、博导、,
刘元春,副校长、教授、,中国人民大学
李扬,国家金融与发展实验室 理事长、中国社会科学院学部委员、研究员、博导、,国家金融与发展实验室
林毅夫,全国政协常委、经济委员会副主任、中华全国工商业联合会副主席、北京大学国家发展研究院名誉院长、教授、博导、,全国政协、中华全国工商业联合会
楼继伟,全国政协常委、外事委员会主任、研究员、,全国政协
陆磊,副局长、研究员、,国家外汇管理局
马建堂,国务院发展研究中心党组书记、副主任、研究员、博导、,
钱颖一,,教授、博导
宋晓梧,北京师范大学中国收入分配研究院院长、研究员、博导、,
汤敏,国务院参事、友成企业家扶贫基金会副理事长、教授、,友成企业家扶贫基金会
王建,副会长兼秘书长、研究员、,中国宏观经济学会
汪同三,中国社会科学院数量经济与技术经济研究所原所长、中国社会科学院学部委员、研究员、博导、,中国社会科学院
王一鸣,副理事长、研究员、,中国国际经济交流中心
魏杰,清华大学文化经济研究院院长、教授、博导、,
吴敬琏,国务院发展研究中心研究员、教授、研究员、博导、,国务院发展研究中心
吴晓灵,清华大学五道口金融学院理事长、研究员、博导、,
夏斌,国务院参事、当代经济学基金会理事长、教授、研究员、博导、,
肖捷,国务委员兼国务院秘书长、教授、研究员、博导、,国务院
谢伏瞻,院长、教授、研究员、博导、,中国社会科学院
许善达,中国注册税务师协会顾问、联办财经研究院院长、高级经济师、教授、研究员、,北京联办财经研究院
徐忠,中国银行间市场交易商协会副秘书长、研究员、,
杨伟民,十三届全国政协常委、经济委员会副主任、研究员、,全国政协经济委员会
姚洋,院长、教授、,北京大学国家发展研究院
易纲,中国人民银行行长、国务院金融稳定发展委员会副主任、教授、研究员、博导、,中央财经领导小组办公室、中国人民银行
余斌,国务院发展研究中心党组成员、学术委员会秘书长、研究员、,国务院发展研究中心
余永定,中国世界经济学会前会长、中国社会科学院学部委员、研究员、博导、,中国世界经济学会
张维迎,北京大学国家发展研究院、教授、博导、,北京大学国家发展研究院
张晓晶,副所长、研究员、,中国社会科学院经济研究所
张晓朴,局长、研究员、,中央财经委员会办公室经济一局
周其仁,北京大学国家发展研究院、教授、博导、,北京大学
周小川,十二届全国政协副主席 原中国人民银行行长 、教授、研究员、博导、,全国政协、中国人民银行

